step,time,lambda0,lambda,cost
0,0.0,0.8880752321174723,-0.8999930630995662,-0.7195396322655133
1,0.5,0.7965687866877602,-0.6673706002673058,-0.5528988771906851
2,1.0,0.7633183710204634,-0.4196912477709782,-0.5003447834238859
3,1.5,0.7423655864494041,0.3312863158562692,-0.49508689715114207
4,2.0,0.7423170476940703,1.33119888594588,-0.4676905116308461
5,2.5,0.7422295100597925,2.331247230155306,-0.43488616998855534
6,3.0,0.7421966240718528,3.3311527922826216,-0.4243737137150482
7,3.5,0.693223680463014,3.5763974179714264,-0.33215940125670007
8,4.0,0.6750521493582201,3.8256412972144758,-0.31131904949056777
9,4.5,0.425509322407616,4.840076890584996,-0.16279637414139983
