step,time,lambda0,lambdas,cost
0,0.0,1.0,"[-3.15275735  2.06911185  1.28727504  1.77331694 -1.55093937  0.4808842
 -0.44978695  1.40225323]",
0,0.1,0.9999964966943905,"[-2.15273599  2.06916224  1.28732004  1.77328988 -1.550937    0.48083094
 -0.44979832  1.40221768]",-0.998916365396637
1,0.2,0.999976196100898,"[-1.15268168  2.06912214  1.28727974  1.77328467 -1.5509754   0.48085013
 -0.44980455  1.40217897]",-0.9992311022381555
2,0.30000000000000004,0.9999512694948273,"[-0.15269155  2.06915656  1.28724842  1.77334961 -1.55095947  0.48083346
 -0.44981405  1.40222669]",-0.9993644111914904
3,0.4,0.9999459549312713,"[ 0.84734956  2.06912426  1.28717857  1.77334206 -1.55096754  0.48085502
 -0.44985514  1.4022358 ]",-0.9991338539542608
4,0.5,0.9998702471178218,"[ 1.84733694  2.06913986  1.28719967  1.77337956 -1.55093556  0.48082489
 -0.44985981  1.40224362]",-0.9989209216232645
5,0.6000000000000001,0.9998150976108849,"[ 2.84731567  2.06917494  1.28719741  1.77338852 -1.55095892  0.48086672
 -0.44991324  1.40224995]",-0.9985616929365635
6,0.7000000000000001,0.9998047683642343,"[ 3.84734224  2.06917589  1.28723722  1.77340867 -1.55090097  0.48083278
 -0.44986353  1.4022646 ]",-0.9985490190769793
7,0.8,0.9997885402869165,"[ 4.84733376  2.06921027  1.28721315  1.77346026 -1.55094331  0.48082026
 -0.4498576   1.40220752]",-0.9987657753559281
8,0.9,0.9997601758098651,"[ 5.84729563  2.06921944  1.28720299  1.77348142 -1.55087695  0.4808493
 -0.44983147  1.40217322]",-0.9988030012269241
9,1.0,0.9997718023542919,"[ 6.84734283  2.06922105  1.28717107  1.77351979 -1.55091515  0.48088244
 -0.44978969  1.40214426]",-0.9988318363814189
10,1.1,0.9998377629576919,"[ 7.84731304  2.06923637  1.28717087  1.77347723 -1.55093807  0.48084418
 -0.44979136  1.40211734]",-0.9986085431889145
11,1.2000000000000002,0.9997867353973082,"[ 8.84729347  2.06921961  1.28719608  1.77345906 -1.55089805  0.48087466
 -0.44981139  1.40217059]",-0.998561231720209
12,1.3,0.9997383884261308,"[ 9.84733579  2.06924127  1.28716852  1.77348817 -1.55095645  0.48087155
 -0.44979551  1.40215943]",-0.9984492841889812
13,1.4000000000000001,0.9997406038024845,"[10.84734504  2.06919585  1.28717899  1.77347136 -1.55098027  0.48087649
 -0.44974017  1.40209779]",-0.9985333627186667
14,1.5,0.9997668113504945,"[11.84735546  2.0691822   1.28714696  1.77348284 -1.55104257  0.48084717
 -0.44973997  1.40204194]",-0.99881620757779
15,1.6,0.9997828942547708,"[12.84733091  2.06918207  1.28712145  1.77355023 -1.55105549  0.48082439
 -0.44972596  1.40198658]",-0.9988819675355693
16,1.7000000000000002,0.9997661339461423,"[13.84727597  2.06915164  1.28708016  1.77352613 -1.55107067  0.4808552
 -0.44976599  1.40201318]",-0.9987625868244232
17,1.8,0.9997367895881317,"[14.84726683  2.06923043  1.28708506  1.77350589 -1.55110665  0.48088534
 -0.44976081  1.40202678]",-0.9983944280685123
18,1.9000000000000001,0.999689619426417,"[15.84725486  2.06922671  1.28704896  1.77354634 -1.55108907  0.48085331
 -0.44977058  1.40208378]",-0.9982524818868552
19,2.0,0.9996320190803483,"[16.84720835  2.06927931  1.2870344   1.77352068 -1.55106254  0.4808651
 -0.44977652  1.40208539]",-0.9983233310555826
20,2.1,0.9996681492404432,"[17.84722462  2.0692857   1.28697499  1.7735282  -1.55111232  0.48083999
 -0.44981266  1.40206571]",-0.9984851443542021
21,2.2,0.9996806459100425,"[18.84729918  2.06926315  1.28703086  1.77353357 -1.55110255  0.4808188
 -0.44982177  1.4020653 ]",-0.9987359638071884
22,2.3000000000000003,0.999664791779744,"[19.84729015  2.06923402  1.28700654  1.77351913 -1.55103212  0.48080038
 -0.44977131  1.40205214]",-0.998539821207601
23,2.4000000000000004,0.9996461113116962,"[20.84729805  2.06925517  1.28699868  1.77349279 -1.55107762  0.48077053
 -0.44975751  1.40212449]",-0.9982565723074779
24,2.5,0.9995957300409599,"[21.84731705  2.069322    1.28697808  1.77349944 -1.55108422  0.48075696
 -0.44975799  1.40216851]",-0.998191372714549
