step,time,lambda0,lambda,cost
0,0.0,0.7509967357282177,-0.10228825851484356,-0.8786145697484395
1,0.5,0.6612665872171104,0.13094684901150325,-0.6136561630263855
2,1.0,0.5814187065797939,0.36775017488183276,-0.39015931231960754
3,1.5,0.5376670720992527,0.6137920935627819,-0.2683170684698739
4,2.0,0.5133135345848139,0.8625034616816275,-0.20544383830923485
5,2.5,0.4928490104091632,1.1115643331371345,-0.1769986739977012
6,3.0,0.4737944755764989,1.3607376855410338,-0.1690610800141916
7,3.5,0.45845035654942984,1.610265582710109,-0.17014942001299116
8,4.0,0.44574324322988296,1.859855762621859,-0.1699221472774946
9,4.5,0.4292658722026135,2.1092276092869255,-0.15952625585322194
